Timestamp_capture,Speed,Angle,Timestamp_internal,State
2025-07-08 11:03:44.558053,"[86, -82, -100, 100]","[7010, 633, 1624, 1559]","[56496, 56491, 56493, 56494]","[0, 0, 0, 0]"
2025-07-08 11:03:44.653303,"[90, -102, -101, 92]","[11725, 28520, 29489, 6534]","[56556, 56551, 56553, 56554]","[0, 0, 0, 0]"
2025-07-08 11:03:44.755827,"[81, -83, -90, 77]","[16230, 23906, 25023, 11286]","[56616, 56611, 56613, 56614]","[0, 0, 0, 0]"
2025-07-08 11:03:44.873422,"[95, -109, -115, 79]","[20965, 19000, 20141, 16256]","[56676, 56671, 56673, 56674]","[0, 0, 0, 0]"
2025-07-08 11:03:44.951739,"[91, -88, -81, 95]","[26107, 13844, 15016, 21661]","[56736, 56731, 56733, 56734]","[0, 0, 0, 0]"
2025-07-08 11:03:45.052518,"[75, -99, -77, 83]","[31036, 8908, 10172, 26767]","[56796, 56791, 56793, 56794]","[0, 0, 0, 0]"
2025-07-08 11:03:45.151986,"[67, -83, -65, 67]","[2914, 4145, 5533, 31536]","[56856, 56851, 56853, 56854]","[0, 0, 0, 0]"
2025-07-08 11:03:45.254450,"[60, -54, -46, 56]","[6261, 607, 2094, 2338]","[56916, 56911, 56913, 56914]","[0, 0, 0, 0]"
2025-07-08 11:03:45.352167,"[61, -54, -73, 54]","[9328, 30218, 31713, 5587]","[56976, 56971, 56973, 56974]","[0, 0, 0, 0]"
2025-07-08 11:03:45.454615,"[34, -46, -37, 45]","[12190, 27360, 28835, 8400]","[57036, 57031, 57033, 57034]","[0, 0, 0, 0]"
2025-07-08 11:03:45.551706,"[22, -23, -25, 26]","[13646, 25860, 27368, 9977]","[57096, 57091, 57093, 57094]","[0, 0, 0, 0]"
2025-07-08 11:03:45.654133,"[7, -8, -10, 2]","[14793, 24814, 26401, 10985]","[57156, 57151, 57153, 57154]","[0, 0, 0, 0]"
2025-07-08 11:03:45.751748,"[9, -7, -7, 8]","[15278, 24399, 26133, 11627]","[57216, 57211, 57213, 57214]","[0, 0, 0, 0]"
2025-07-08 11:03:45.853276,"[16, -19, -19, 19]","[16003, 23620, 25213, 12357]","[57276, 57271, 57273, 57274]","[0, 0, 0, 0]"
2025-07-08 11:03:45.951033,"[16, -18, -13, 18]","[16865, 22780, 24343, 13111]","[57336, 57331, 57333, 57334]","[0, 0, 0, 0]"
2025-07-08 11:03:46.054513,"[12, -14, -14, 5]","[17496, 22001, 23612, 13874]","[57396, 57391, 57393, 57394]","[0, 0, 0, 0]"
