Timestamp,Acc_X (g),Acc_Y (g),Acc_Z (g),Gyro_X (deg/s),Gyro_Y (deg/s),Gyro_Z (deg/s)
2025-07-04 16:35:13.568012,-0.08437,0.01837,-0.95262,0.00195,-0.00445,-0.01438
2025-07-04 16:35:13.660682,0.07075,0.01672,-1.032,0.0068,-0.03487,0.00272
2025-07-04 16:35:13.750440,0.08098,-0.00297,-0.95601,0.01398,0.05123,0.0491
2025-07-04 16:35:13.857565,-0.08525,0.00729,-1.0132,0.01154,-0.02835,0.01654
2025-07-04 16:35:13.951997,0.07084,0.00808,-1.04082,-0.03266,-0.11345,0.02607
2025-07-04 16:35:14.048717,0.0126,0.00879,-1.0381,0.00296,-0.09062,0.02025
2025-07-04 16:35:14.159104,-0.03194,-0.02137,-1.00846,-0.02587,0.00665,0.01983
2025-07-04 16:35:14.264422,-0.03714,0.00399,-0.91219,-0.09629,0.14402,0.04282
2025-07-04 16:35:14.358681,-0.1714,0.02197,-1.06854,-0.04617,-0.01301,0.04617
2025-07-04 16:35:14.467896,0.0526,0.00263,-0.98258,0.01941,0.0256,0.00368
2025-07-04 16:35:14.561903,-0.11756,-0.00485,-1.00615,-0.02278,-0.01748,0.02907
2025-07-04 16:35:14.658647,-0.12077,0.03226,-0.99031,-0.00102,0.0201,-0.03999
2025-07-04 16:35:14.754136,-0.10657,0.01343,-0.99522,-0.00048,0.00235,0.01431
2025-07-04 16:35:14.847273,0.02579,0.01823,-1.00767,0.00133,0.01712,0.00729
2025-07-04 16:35:14.960211,-0.01575,0.00781,-0.99494,0.00844,-0.00143,0.01271
2025-07-04 16:35:15.058133,-0.01049,0.01172,-1.00503,0.00011,0.00494,0.01071
2025-07-04 16:35:15.155745,-0.00719,0.01721,-1.0067,0.00061,0.00056,0.01367
2025-07-04 16:35:15.257008,-0.01485,-0.00706,-1.01454,0.00049,0.00448,0.03039
2025-07-04 16:35:15.359427,-0.01543,0.00912,-1.00502,-0.00885,0.00133,0.02596
2025-07-04 16:35:15.449631,-0.01447,0.01041,-1.00569,-0.00246,0.00512,0.01294
2025-07-04 16:35:15.558068,-0.01902,0.00758,-1.00713,0.00088,0.00483,0.01181
2025-07-04 16:35:15.659917,-0.01942,0.00579,-1.0092,0.0023,0.00184,0.01294
2025-07-04 16:35:15.753280,-0.01685,0.00518,-1.00818,-3e-05,0.00186,0.01684
2025-07-04 16:35:15.860968,-0.01057,0.00858,-1.00786,-0.00014,0.00397,0.00721
2025-07-04 16:35:15.957775,-0.01103,-0.03382,-1.01166,0.00902,-0.01249,0.14124
2025-07-04 16:35:16.056276,0.03651,0.03399,-1.02564,-0.02033,-0.00418,1.14161
2025-07-04 16:35:16.154281,-0.01155,-0.05584,-1.0211,-0.07224,0.00251,1.31379
2025-07-04 16:35:16.265761,-0.00513,0.00061,-1.05517,-0.07809,0.03248,1.28109
2025-07-04 16:35:16.405769,0.00769,-0.00752,-1.05092,-0.0781,-0.02164,1.36513
2025-07-04 16:35:16.476578,0.00875,-0.03672,-0.98314,-0.04675,0.00482,1.39758
2025-07-04 16:35:16.581891,0.01586,-0.02792,-1.01973,-0.0475,0.00712,1.41753
2025-07-04 16:35:16.679336,-0.00457,-0.03657,-1.00407,-0.00467,-0.00918,1.43197
2025-07-04 16:35:16.782075,0.00743,-0.0189,-0.99804,-0.02492,-0.00688,1.43469
2025-07-04 16:35:16.868882,0.01496,-0.03304,-0.99469,0.00602,-0.01271,1.4723
2025-07-04 16:35:16.979535,0.01771,-0.01429,-1.0048,0.00644,-0.01073,1.41055
2025-07-04 16:35:17.074464,0.01512,-0.00502,-1.01085,0.0059,-0.02787,1.43971
2025-07-04 16:35:17.184071,0.02165,0.03421,-1.01124,0.00826,-0.0144,0.47318
2025-07-04 16:35:17.272872,0.02263,0.04602,-1.00772,0.01028,0.00176,0.15773
2025-07-04 16:35:17.370736,0.00202,0.01414,-1.00905,0.00473,0.00828,-0.00174
2025-07-04 16:35:17.480289,0.00097,0.00565,-1.00997,-0.00085,0.00461,0.01128
2025-07-04 16:35:17.579825,0.00473,0.01332,-1.00757,0.00019,0.00109,0.01022
2025-07-04 16:35:17.674933,0.00444,0.01075,-1.0084,0.00139,0.00526,0.01008
2025-07-04 16:35:17.780547,0.00263,0.01145,-1.00816,0.00272,0.0061,0.00983
2025-07-04 16:35:17.866075,0.00336,0.01191,-1.00749,0.00123,0.00353,0.0078
2025-07-04 16:35:17.974348,0.0046,0.01197,-1.00786,0.00124,0.00283,0.00827
2025-07-04 16:35:18.080864,0.00302,0.0112,-1.0088,-0.00071,0.00589,0.0088
